companyID,companyAbbreviation,companyName,Industry,companySize,url,date_scrape
1,"Guggenheim Investments","Guggenheim Investments",NULL,"1001-5000 employees",https://www.linkedin.com/showcase/guggenheim-investments,"2021-03-22 04:39:00"
2,"Caisse de dÃ©pÃ´t et placement du QuÃ©bec (CDPQ)","Caisse de dÃ©pÃ´t et placement du QuÃ©bec (CDPQ)",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/cdpq,"2021-03-22 04:40:00"
3,"BNY Mellon","BNY Mellon","Financial Services
Investment Management
and Investment Services","10,001 employees",https://www.linkedin.com/company/bny-mellon,"2021-03-22 04:41:00"
4,"NN Investment Partners","NN Investment Partners","Portfolio Management
Multi-Asset Strategies
Fund Management
ESG Investing
Integrated Client Solutions
Responsible Investing
DC Solutions
Tactical Asset Allocation
Quantitative Research
Fixed Income Strategies
Equity Strategies
Emerging Market Debt
and Al","1,001-5,000 employees",https://www.linkedin.com/company/nn-investment-partners,"2021-03-22 04:41:00"
5,"Voya Investment Management","Voya Investment Management","Equities
Fixed Income
Multi-Asset Strategies and Solutions
and Institutional Solutions","1,001-5,000 employees",https://www.linkedin.com/company/voya-investment-management,"2021-03-22 04:42:00"
6,"Swiss Life Asset Managers","Swiss Life Asset Managers",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/swiss-life-asset-management,"2021-03-22 04:43:00"
7,"AQR Capital Management","AQR Capital Management",NULL,"501-1,000 employees",https://www.linkedin.com/company/aqr-capital-management,"2021-03-22 04:43:00"
8,SEB,SEB,"finance
banking
advisory
wholesale banking
retail banking
mutual funds
life insurance
pension
personal finance
and private banking","10,001 employees",https://www.linkedin.com/company/seb,"2021-03-22 04:44:00"
9,"Lazard Asset Management","Lazard Asset Management","Investment Management","501-1,000 employees",https://www.linkedin.com/company/lazard-asset-management,"2021-03-22 04:45:00"
10,"Santander Asset Management","Santander Asset Management",NULL,"501-1,000 employees",https://www.linkedin.com/company/santanderam/,"2021-03-22 04:45:00"
11,"Nikko Asset Management Group","Nikko Asset Management Group","Fixed Income
Equities
Multi Asset
ETFs
and Multi-Manager","501-1,000 employees",https://www.linkedin.com/company/nikkoamgroup,"2021-03-22 04:46:00"
12,"The TCW Group","The TCW Group","Investment Management and Asset Management","501-1,000 employees",https://www.linkedin.com/company/thetcwgroup,"2021-03-22 04:47:00"
13,"Pictet Asset Management","Pictet Asset Management","Asset Management
Emerging Markets
Total Return
Thematic investing
Multi Asset
Sustainability
Credit
Megatrends
UCITS
Institutional investors
Financial advisors
Investment Management
High Yield
Value investing
Pension funds
Private banks
Emerging debt
Res","501-1,000 employees",https://www.linkedin.com/company/pictet-asset-management,"2021-03-22 04:47:00"
14,Robeco,Robeco,"Asset management
Investment management
Pension Solutions
Investment solutions
High Yield Investment Strategies
Emerging markets
ESG integration
Quant Investing
Factor Investing
Fixed Income solutions
and Multi-asset solutions","501-1,000 employees",https://www.linkedin.com/company/robeco,"2021-03-22 04:48:00"
15,"E Fund Management Co.,LTD.","E Fund Management Co.,LTD.","mutual fund and asset management","501-1,000 employees",https://www.linkedin.com/company/e-fund-management-co.-ltd.,"2021-03-22 04:49:00"
16,"Eastspring Investments","Eastspring Investments","Equity
fixed income
multi asset
infrastructure
and and alternatives","1,001-5,000 employees",https://www.linkedin.com/company/eastspring-investments/,"2021-03-22 05:22:00"
17,"Bradesco Asset Management","Bradesco Asset Management",NULL,"201-500 employees",https://www.linkedin.com/company/bradesco-asset-management/,"2021-03-22 06:17:00"
18,"ItaÃº Asset Management","ItaÃº Asset Management","Asset Management","201-500 employees",https://www.linkedin.com/company/itau-asset-management,"2021-03-22 06:17:00"
19,"Bank J. Safra Sarasin Ltd","Bank J. Safra Sarasin Ltd","Private Banking
Asset Management
Institutional investors
External asset managers
Investment foundation
Investment funds
Pension products
Financial engineering
Structured products
Islamic Wealth Management
Trading & Treasury
and Sustainable investments","1,001-5,000 employees",https://www.linkedin.com/company/bank-j-safra-sarasin/,"2021-03-22 06:18:00"
20,"American Century Investments","American Century Investments","Asset Management
Investment Management
Portfolio Management
and Mutual Funds","1,001-5,000 employees",https://www.linkedin.com/company/american-century-investments,"2021-03-22 17:28:00"
21,"Putnam Investments","Putnam Investments","financial-services and investment-management","1,001-5,000 employees",https://www.linkedin.com/company/putnam-investments,"2021-03-22 17:29:00"
22,"First State Investments","First State Investments","Asia Pacific
Global Emerging Markets
Global Listed Infrastructure Securities
Global Property Securities
Global Resources
Worldwide Equities
Australian Equities
Global Fixed Interest and Credit
Emerging Markets Debt
Unlisted Infrastructure
and Multi-Asset","201-500 employees",https://www.linkedin.com/company/firststateinvestments,"2021-03-22 17:29:00"
23,"KKR & Co. Inc.","KKR & Co. Inc.","Private Equity
Asset Management
Capital Markets
Credit
Real Estate
Infrastructure
Energy Real Assets
and Special Situations","1,001-5,000 employees",https://www.linkedin.com/company/kkr,"2021-03-22 17:30:00"
24,"Standish Mellon Asset Management Company","Standish Mellon Asset Management Company",NULL,"501-1,000 employees",https://www.linkedin.com/company/standish-mellon-asset-management,"2021-03-22 17:30:00"
25,"ZÃ¼rcher Kantonalbank","ZÃ¼rcher Kantonalbank","Vereinbarkeit von Beruf und Freizeit
Chancengleichheit
Diversity
mobiles Arbeiten
and attraktive AusbildungsplÃ¤tze","5,001-10,000 employees",https://www.linkedin.com/company/zkb-ch,"2021-03-22 17:31:00"
26,"GAM Investments","GAM Investments",NULL,"501-1,000 employees",https://www.linkedin.com/company/gam-investments,"2021-03-22 17:32:00"
27,"Lyxor Asset Management","Lyxor Asset Management","ETF & Indexing
Active Investment Strategies
and Investment Partners","501-1,000 employees",https://www.linkedin.com/company/lyxor-asset-management,"2021-03-22 17:32:00"
28,"Lord, Abbett & Co. LLC","Lord, Abbett & Co. LLC","Investment Management and Asset Management","501-1,000 employees",https://www.linkedin.com/company/lord-abbett-&-co-llc,"2021-03-22 17:33:00"
29,Talanx,Talanx,NULL,"10,001 employees",https://www.linkedin.com/company/talanx,"2021-03-22 17:34:00"
30,"Helaba Invest Kapitalanlagegesellschaft mbH","Helaba Invest Kapitalanlagegesellschaft mbH","Asset Management
Risikomanagement
Immobilien
Alternative Investments
Master-KVG
Overlay Management
Corporate Bonds
and Multi Asset","201-500 employees",https://www.linkedin.com/company/helaba-invest-kapitalanlagegesellschaft-mbh/,"2021-03-22 17:34:00"
31,"John Hancock Investment Management","John Hancock Investment Management","Mutual funds
Institutional Accounts
529 College Savings Plans
Retirement Solutions
Asset Management
Target Date Funds
ETFs
smart beta investing
esg investing
sustainable investing
equity investing
fixed-income investing
alternative investments
multimanag","501-1,000 employees",https://www.linkedin.com/company/john-hancock-investment-management,"2021-03-22 17:35:00"
32,MN,MN,"Fiduciary management and pension administration","1,001-5,000 employees",https://www.linkedin.com/company/mn,"2021-03-22 17:35:00"
33,"Royal London Asset Management","Royal London Asset Management","Fixed interest
Equities
Property
Cash
Asset management
Investment management
and Multi Asset","201-500 employees",https://www.linkedin.com/company/royal-london-asset-management,"2021-03-22 17:36:00"
34,"China Asset Management Co., Ltd.","China Asset Management Co., Ltd.","Mutual Funds
Institutional Asset Management
QFIIs (Qualified Foreign Institutional Investors)
QDIIs (Qualified Domestic Institutional Investors)
Active Equities(A-shares,Greater China)
Passive Equities(A-shares,Greater China)
and Fixed Income (Rates
Cred","501-1,000 employees",https://www.linkedin.com/company/china-asset-management-company,"2021-03-22 17:37:00"
35,Swedbank,Swedbank,"Financial services
Mortgage lending
Private banking
Pension
Cards
Savings
Mutual funds
Digitalisation
Data analysis
and IT","10,001 employees",https://www.linkedin.com/company/swedbank,"2021-03-22 17:37:00"
36,"AMP Capital","AMP Capital","Investment Management
Managed Funds
Asset Management
Property / Real Estate
Infrastructure
Fixed Income
Shopping Centres
and Equities / Shares","1,001-5,000 employees",https://www.linkedin.com/company/amp-capital,"2021-03-22 17:38:00"
37,"Bridgewater Associates","Bridgewater Associates",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/bridgewater-associates,"2021-03-22 17:39:00"
38,"Investec Asset Management","Investec Asset Management","Asset Management
4Factor
Investment Strategy
Fixed Income
Multi Asset
Commodities and Resources
Equities
and Emerging markets","1,001-5,000 employees",https://www.linkedin.com/company/investec-asset-management,"2021-03-22 17:40:00"
39,"Harris Associates","Harris Associates",NULL,"51-200 employees",https://www.linkedin.com/company/harris-associates,"2021-03-22 17:40:00"
40,"SURA Asset Management","SURA Asset Management",NULL,"5,001-10,000 employees",https://www.linkedin.com/company/sura-asset-management/,"2021-03-22 17:41:00"
41,"ClearBridge Investments","ClearBridge Investments","Asset Management and Investment Management","201-500 employees",https://www.linkedin.com/company/clearbridge-investments,"2021-03-22 17:42:00"
42,Candriam,Candriam,"financial services
asset management
sustainable investment
and ESG","501-1,000 employees",https://www.linkedin.com/company/candriam/,"2021-03-22 17:42:00"
43,"KBC Asset Management","KBC Asset Management",NULL,"201-500 employees",https://www.linkedin.com/company/kbc-asset-management/,"2021-03-22 17:43:00"
44,"Danske Bank","Danske Bank","Banking products
Insurance
Mortgage finance
Real-estate brokerage
Asset management
Innovation
Private Banking
Corporate Banking
Personal Banking
Business Banking
Mobile Payments
Pension
Leasing
Property financing
and Financial services","10,001 employees",https://www.linkedin.com/company/danskebank,"2021-03-22 17:43:00"
45,"CIBC Asset Management","CIBC Asset Management",NULL,"10,001 employees",https://www.linkedin.com/showcase/cibc-asset-management/?originalSubdomain=ca,"2021-03-22 17:44:00"
46,"UBP - Union Bancaire PrivÃ©e","UBP - Union Bancaire PrivÃ©e","Asset Management
Wealth Management
Private Banking
Asset allocation
Investment Advisory
Fund of Hedge Funds
Funds Advisory
Equities
Fixed Income
Forex
Structured Products
and Emerging Markets.","1,001-5,000 employees",https://www.linkedin.com/company/ubp,"2021-03-22 17:44:00"
47,"Vontobel Asset Management","Vontobel Asset Management","Global Equities
Asset Management
Fixed Income
Multi-Asset Class
ESG Investing
Alternatives
and Quality Growth","201-500 employees",https://www.linkedin.com/company/vontobel-asset-management,"2021-03-22 17:45:00"
48,"IGM Financial Inc.","IGM Financial Inc.",NULL,"5,001-10,000 employees",https://www.linkedin.com/company/igm-financial-services-inc/,"2021-03-22 17:45:00"
49,"Harvest Global Investments Limited","Harvest Global Investments Limited","Asia
China
investments
Chinese market
equities
and asset management","51-200 employees",https://www.linkedin.com/company/harvest-global-investments-limited,"2021-03-22 17:46:00"
50,"Mirae Asset Global Investments","Mirae Asset Global Investments","Global Investments
Alternative Investments
Exchange Traded Funds
Asia Investments
Equity Investments
Fixed Income Investments
and Venture Capital","501-1,000 employees",https://www.linkedin.com/company/mirae-asset-global-investments,"2021-03-22 17:47:00"
51,Conning,Conning,"Asset Management
Risk Solutions
Insurance Industry Research
Pension LDI Solutions
Liability-Driven Investing
Investment Accounting
and Investment Reporting","201-500 employees",https://www.linkedin.com/company/conning,"2021-03-22 17:48:00"
52,"Groupama Asset Management","Groupama Asset Management","Asset Management
Investment Management
Institutional Investment
Investment Solutions
Responsible Finance
Gestion d'actifs
Investissement
Equity
Multi-asset
and ISR","201-500 employees",https://www.linkedin.com/company/groupama-asset-management/,"2021-03-22 17:49:00"
53,BBVA,BBVA,"Corporate and Investment Banking
Innovation
Digital Banking
Fintech
banking
Digital transformation
Design Thinking
Agile
Big Data
data science
Engineering
and cyber security","10,001 employees",https://www.linkedin.com/company/bbva,"2021-03-22 17:49:00"
54,"Payden & Rygel","Payden & Rygel","Investment Management","51-200 employees",https://www.linkedin.com/company/payden-&-rygel,"2021-03-22 17:50:00"
55,"LSV Asset Management","LSV Asset Management",NULL,"11-50 employees",https://www.linkedin.com/company/lsv-asset-management,"2021-03-22 17:51:00"
56,"Artisan Partners","Artisan Partners","High value-added active investment management
Emerging Markets Equities
US & Global Equities
and Fixed Income","201-500 employees",https://www.linkedin.com/company/artisan-partners,"2021-03-22 17:51:00"
57,"First Eagle Investment Management","First Eagle Investment Management",NULL,"201-500 employees",https://www.linkedin.com/company/first-eagle-investment-management,"2021-03-22 17:52:00"
58,"CI Financial","CI Financial",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/ci-financial/,"2021-03-22 18:16:00"
59,"Anima SGR","Anima SGR","Gestione del risparmio
Fondi comuni
Gestioni patrimoniali
Fondo pensione aperto
and Fondi Etici","201-500 employees",https://www.linkedin.com/company/anima-sgr,"2021-03-22 18:17:00"
60,"CovÃ©a Finance","CovÃ©a Finance","Gestion d'actifs
Asset Management
Services financiers
Gestion de portefeuilles
Finance
and Gestion de fonds","51-200 employees",https://www.linkedin.com/company/covea-finance,"2021-03-22 18:18:00"
61,Hines,Hines,"Investment Management
Private Equity
Property Management
and Real Estate Development","1,001-5,000 employees",https://www.linkedin.com/company/hines,"2021-03-22 18:18:00"
62,"Man Group","Man Group",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/man-group-plc,"2021-03-22 18:19:00"
63,"Ares Management Corporation","Ares Management Corporation","Private Equity
Credit
Real Estate
Strategic Initiatives
Alternative Asset Management
Financial Services
Investment Management
and Direct Lending","1,001-5,000 employees",https://www.linkedin.com/company/ares-management,"2021-03-22 18:20:00"
64,"Sumitomo Mitsui DS Asset Management Co., Ltd.","Sumitomo Mitsui DS Asset Management Co., Ltd.",NULL,"501-1,000 employees",https://www.linkedin.com/company/sumitomo-mitsui-asset-management-co.-ltd.,"2021-03-22 18:20:00"
65,"CBRE Global Investors","CBRE Global Investors","Real Estate Investment Management
Real Estate Investment Funds
Real Estate Securities
and Real Estate Investment Separate Accounts","501-1,000 employees",https://www.linkedin.com/company/cbre-global-investors,"2021-03-22 18:21:00"
66,"MacKay Shields LLC","MacKay Shields LLC",NULL,"201-500 employees",https://www.linkedin.com/company/mackay-shields,"2021-03-22 18:22:00"
67,BayernInvest,BayernInvest,NULL,"51-200 employees",https://www.linkedin.com/company/bayern-invest,"2021-03-22 18:23:00"
68,"Oaktree Capital Management, L.P.","Oaktree Capital Management, L.P.",NULL,"1,001-5,000 employees",https://www.linkedin.com/company/oaktree-capital-management,"2021-03-22 18:23:00"
69,"Fiera Capital","Fiera Capital","Canadian Equity
Global
International & US Equity
Canadian Fixed Income
Asset Allocation
and Non-traditional Investments","501-1,000 employees",https://www.linkedin.com/company/fiera-capital,"2021-03-22 18:24:00"
70,"Hartford Investment Management Co. (HIMCO)","Hartford Investment Management Co. (HIMCO)",NULL,"201-500 employees",https://www.linkedin.com/company/hartford-investment-management,"2021-03-22 18:25:00"
71,"Acadian Asset Management","Acadian Asset Management","Acadian specializes in active global and international equity strategies
employing sophisticated analytical models for active stock selection as well as peer group (country
region and industry) valuation.
active equity
low volatility
multi-asset investme","201-500 employees",https://www.linkedin.com/company/acadian-asset-management,"2021-03-22 18:26:00"
72,"Arrowstreet Capital, Limited Partnership","Arrowstreet Capital, Limited Partnership",NULL,"201-500 employees",https://www.linkedin.com/company/arrowstreet-capital,"2021-03-22 18:27:00"
73,"New England Asset Management, Inc. (NEAM, Inc.)","New England Asset Management, Inc. (NEAM, Inc.)","Asset Management
Enterprise & Capital Risk Management
Investment Technology Solutions
and Investment Accounting and Reporting Services","51-200 employees",https://www.linkedin.com/company/new_england_asset_management,"2021-03-22 18:28:00"
74,"Fisher Investments","Fisher Investments","Financial Services
Portfolio Management
Investment Advice
Retirement Planning
and Retirement Investment Planning","1,001-5,000 employees",https://www.linkedin.com/company/fisher-investments,"2021-03-22 18:29:00"
75,"Boston Partners Global Investors, Inc.","Boston Partners Global Investors, Inc.","Asset Management and Liquid Alternatives","51-200 employees",https://www.linkedin.com/company/boston-partners-global-investors/,"2021-03-22 18:29:00"
76,"OP Financial Group","OP Financial Group",NULL,"10,001 employees",https://www.linkedin.com/company/op-financial-group/,"2021-03-22 18:30:00"
77,"Metzler Asset Management","Metzler Asset Management",NULL,"201-500 employees",https://www.linkedin.com/company/metzler-asset-management/,"2021-03-22 21:19:00"
78,"Banca Mediolanum","Banca Mediolanum","Servizi Bancari
Servizi Finanziari
Investimenti
Risparmio
Previdenza
and Protezione","1,001-5,000 employees",https://www.linkedin.com/company/banca-mediolanum/,"2021-03-22 21:24:00"
79,"Barrow, Hanley, Mewhinney & Strauss","Barrow, Hanley, Mewhinney & Strauss","Investment Management","51-200 employees",https://www.linkedin.com/company/bhms,"2021-04-07 15:48:00"
80,"Achmea Investment Management","Achmea Investment Management","Investment Management","201-500 employees",https://nl.linkedin.com/company/achmea-investment-management,"2021-04-07 15:52:00"
81,"Galliard Capital Management","Galliard Capital Management","Fixed Income Investment Management
Stable Value Investment Management
and Institutional Investing","51-200 employees",https://www.linkedin.com/company/galliard-capital-management/,"2021-03-24 12:38:00"
82,"Storebrand Asset Management","Storebrand Asset Management",NULL,NULL,https://www.linkedin.com/showcase/storebrand-asset-management/,"2021-03-24 12:42:00"
83,"PineBridge Investments","PineBridge Investments","Asset Management
Investment Management
Equities
Fixed Income
Private Equity
and Multi Asset","501-1,000 employees",https://www.linkedin.com/company/pinebridge-investments/,"2021-03-24 12:45:00"
84,"OFI Asset Management","OFI Asset Management","Asset allocation
Equities
Fixed Income
Credit
Real Estate
Private Equity and Global Investment solutions
Asset Management
SRI
and Sustainable finance","201-500 employees",https://www.linkedin.com/company/ofi-asset-management,"2021-03-24 12:55:00"
85,"Rothschild & Co","Rothschild & Co","Global Advisory
Private Wealth
Merchant Banking
Asset Management
M&A advisory
Debt Advisory & Restructuring
Equity Advisory
Private Equity
Wealth Planning
Investment Management
Private Debt
Wealth Structuring
and Wealth Management","1,001-5,000 employees",https://www.linkedin.com/company/rothschildandco/,"2021-03-24 12:57:00"
86,Mesirow,Mesirow,"Investment Management
Capital Markets and Investment Banking
and Individual and Corporate Solutions","201-500 employees",https://www.linkedin.com/company/mesirow,"2021-03-24 12:58:00"
87,"LBBW Asset Management Investmentgesellschaft mbH","LBBW Asset Management Investmentgesellschaft mbH","Spezialfonds für institutionelle Investoren
Direktanlage-Mandaten für Versicherungen und Versorgungseinrichtungen
and Publikumsfonds für institutionelle und private Anleger","201-500 employees",https://www.linkedin.com/company/lbbw-asset-management-investmentgesellschaft-mbh/,"2021-03-24 13:00:00"
88,"La Française","La Française","Présent sur toutes les classes d’actifs
Gestion d'actifs
Immobilier
Solutions d'investissement
Asset Management
Valeurs Mobilières
Financement Direct de l'Economie
Impact Investing
and Grand Paris","501-1,000 employees",https://www.linkedin.com/company/lafrancaise-group,"2021-03-24 13:00:00"
89,Prologis,Prologis,"Logistics real estate and Logistics real estate","1,001-5,000 employees",https://www.linkedin.com/company/prologis,"2021-03-24 13:04:00"
90,"Edmond de Rothschild","Edmond de Rothschild","Private Banking
Asset Management
Corporate Finance
Private Equity
Fund Services
and Real Estate","1,001-5,000 employees",https://fr.linkedin.com/company/edmond-de-rothschild,"2021-03-24 13:05:00"
91,"Erste Asset Management GmbH","Erste Asset Management GmbH","Asset Management
Investmentfonds
Emerging Markets
Fixed Income
Responsible Investments
Equities
and Investment consulting","201-500 employees",https://www.linkedin.com/company/erste-asset-management-gmbh,"2021-03-24 13:06:00"
92,"Crédit Mutuel Asset Management","Crédit Mutuel Asset Management","Asset management
Gestion obligataire
Gestion actions
Multigestion
Gestion structurée
and ISR / Investissement Socialement Responsable","201-500 employees",https://www.linkedin.com/company/cmcic-am-officiel,"2021-03-24 13:15:00"
93,"Partners Group","Partners Group","Private equity
Private real estate
Private debt
and Private infrastructure","1,001-5,000 employees",https://www.linkedin.com/company/partners-group,"2021-03-24 13:18:00"
